"school","district","total","sys_avgenrolled","std_total","perc_amind","sys_amind","std_amind","perc_asian","sys_asian","std_asian","perc_black","sys_black","std_black","perc_hawpi","sys_hawpi","std_hawpi","perc_hispanic","sys_hispanic","std_hispanic","perc_white","sys_white","std_white","perc_multiple","sys_multiple","std_multiple","perc_unreported","sys_unreported","std_unreported"
"High Tech Elementary Explorer","San Diego Unified",348,519.67264573991,-0.466834380258559,0.0114942528735632,0.00368557291758933,1.85990615750105,0.0373563218390805,0.0647378075014415,-0.348897785093048,0.100574712643678,0.0953992813533134,0.0504220271750643,0,0.00451306804552012,-0.822168995516187,0.46264367816092,0.508320076016124,-0.19466749092767,0.341954022988506,0.231399065356168,0.54038834297982,0.0459770114942529,0.0824691124388692,-0.688191573532439,0,0.009476016370974,-0.978258659125034
"High Tech High","San Diego Unified",508,519.67264573991,-0.0317417624484243,0.0078740157480315,0.00368557291758933,0.99762196102311,0.0334645669291339,0.0647378075014415,-0.398486937593705,0.047244094488189,0.0953992813533134,-0.469155516614438,0.00196850393700787,0.00451306804552012,-0.463556431239439,0.486220472440945,0.508320076016124,-0.0941859380442824,0.354330708661417,0.231399065356168,0.600885102289422,0.0688976377952756,0.0824691124388692,-0.255939621133493,0,0.009476016370974,-0.978258659125034
"High Tech High International","San Diego Unified",373,519.67264573991,-0.398851158725725,0,0.00368557291758933,-0.877846166316418,0.0268096514745308,0.0647378075014415,-0.483284573876976,0.0804289544235925,0.0953992813533134,-0.145849531936649,0.0134048257372654,0.00451306804552012,1.61985758159625,0.46112600536193,0.508320076016124,-0.201135635739898,0.351206434316354,0.231399065356168,0.58561377052375,0.0670241286863271,0.0824691124388692,-0.291271464144435,0,0.009476016370974,-0.978258659125034
"High Tech High Media Arts","San Diego Unified",378,519.67264573991,-0.385254514419159,0.00529100529100529,0.00368557291758933,0.382389030361466,0.0476190476190476,0.0647378075014415,-0.218129048224622,0.0793650793650794,0.0953992813533134,-0.156214414417282,0.0185185185185185,0.00451306804552012,2.55144549805026,0.53968253968254,0.508320076016124,0.133663169556521,0.267195767195767,0.231399065356168,0.174972889552131,0.0423280423280423,0.0824691124388692,-0.757006187305348,0,0.009476016370974,-0.978258659125034
"High Tech Middle","San Diego Unified",306,519.67264573991,-0.581046192433719,0.0163398692810458,0.00368557291758933,3.01405664695352,0.0294117647058824,0.0647378075014415,-0.450128171986489,0.107843137254902,0.0953992813533134,0.121235198620183,0.00326797385620915,0.00451306804552012,-0.226825261357402,0.42156862745098,0.508320076016124,-0.369724575918875,0.330065359477124,0.231399065356168,0.482277017058774,0.0915032679738562,0.0824691124388692,0.170371931246034,0,0.009476016370974,-0.978258659125034
"High Tech Middle Media Arts","San Diego Unified",315,519.67264573991,-0.556572232681899,0.00634920634920635,0.00368557291758933,0.634436069697043,0.0285714285714286,0.0647378075014415,-0.460835823852421,0.0666666666666667,0.0953992813533134,-0.279929651706118,0.0158730158730159,0.00451306804552012,2.06950057039791,0.476190476190476,0.508320076016124,-0.136932614572546,0.349206349206349,0.231399065356168,0.57583743211649,0.0571428571428571,0.0824691124388692,-0.477618855387337,0,0.009476016370974,-0.978258659125034
"High Tech Elementary Chula Vista","SBC - High Tech High",392,519.67264573991,-0.347183910360772,0.00255102040816327,0.00368557291758933,-0.270232767918152,0.107142857142857,0.0647378075014415,0.540329625612249,0.0357142857142857,0.0953992813533134,-0.581485542597658,0,0.00451306804552012,-0.822168995516187,0.721938775510204,0.508320076016124,0.910418032034156,0.112244897959184,0.231399065356168,-0.582420946629377,0.0204081632653061,0.0824691124388692,-1.17038540289832,0,0.009476016370974,-0.978258659125034
"High Tech Elementary North County","SBC - High Tech High",387,519.67264573991,-0.360780554667338,0.00775193798449612,0.00368557291758933,0.96854493579304,0.020671834625323,0.0647378075014415,-0.561493285062399,0.0284237726098191,0.0953992813533134,-0.652513912843429,0.00516795865633075,0.00451306804552012,0.119304816641891,0.578811369509044,0.508320076016124,0.300425687682574,0.31266149870801,0.231399065356168,0.397207620951277,0.0465116279069767,0.0824691124388692,-0.67810943244478,0,0.009476016370974,-0.978258659125034
"High Tech High Chula Vista","SBC - High Tech High",552,519.67264573991,0.0879087074493626,0.00543478260869565,0.00368557291758933,0.416634552010322,0.0434782608695652,0.0647378075014415,-0.270891390752405,0.0253623188405797,0.0953992813533134,-0.682340355604862,0.0072463768115942,0.00451306804552012,0.497941023705465,0.777173913043478,0.508320076016124,1.14582375883277,0.0960144927536232,0.231399065356168,-0.661754537476491,0.0452898550724638,0.0824691124388692,-0.701150412484783,0,0.009476016370974,-0.978258659125034
"High Tech High Mesa","SBC - High Tech High",96,519.67264573991,-1.15210525330952,0.0104166666666667,0.00368557291758933,1.60324187714317,0.03125,0.0647378075014415,-0.426705183529762,0.0729166666666667,0.0953992813533134,-0.219038558353019,0.0104166666666667,0.00451306804552012,1.07548915711494,0.375,0.508320076016124,-0.568194645528246,0.458333333333333,0.231399065356168,1.10924589601261,0.0416666666666667,0.0824691124388692,-0.769478836051688,0,0.009476016370974,-0.978258659125034
"High Tech High North County","SBC - High Tech High",389,519.67264573991,-0.355341896944712,0.0102827763496144,0.00368557291758933,0.583408141488,0.025706940874036,0.0647378075014415,0.58220771189772,0.0205655526992288,0.0953992813533134,-0.720238253130575,0.0077120822622108,0.00451306804552012,-0.263349416827267,0.406169665809769,0.508320076016124,0.853522659697421,0.444730077120823,0.231399065356168,-0.56130730430099,0.0848329048843188,0.0824691124388692,-0.918921063055379,0,0.009476016370974,-0.978258659125034
"High Tech Middle Chula Vista","SBC - High Tech High",326,519.67264573991,-0.526659615207452,0.00613496932515337,0.00368557291758933,0.583408141488,0.110429447852761,0.0647378075014415,0.58220771189772,0.0214723926380368,0.0953992813533134,-0.720238253130575,0.00306748466257669,0.00451306804552012,-0.263349416827267,0.708588957055215,0.508320076016124,0.853522659697421,0.116564417177914,0.231399065356168,-0.56130730430099,0.0337423312883436,0.0824691124388692,-0.918921063055379,0,0.009476016370974,-0.978258659125034
"High Tech Middle North County","SBC - High Tech High",327,519.67264573991,-0.523940286346139,0.0122324159021407,0.00368557291758933,2.03572511407649,0.0244648318042813,0.0647378075014415,-0.513162514010708,0.0214067278287462,0.0953992813533134,-0.72087799745578,0.00305810397553517,0.00451306804552012,-0.265058345202462,0.559633027522936,0.508320076016124,0.218689826496159,0.324159021406728,0.231399065356168,0.45340706575768,0.055045871559633,0.0824691124388692,-0.517165161871144,0,0.009476016370974,-0.978258659125034
